CCAA 	Nombre 	Vinculado al Partido 	Cargos ejercidos 	Caso 	Grado de implicación 	Ingresó en prisión
Andalucía 	José Domínguez Abascal 	PSOE 	Secretario General de Universidades, Investigación y Tecnología (2004-2008) 	ERE 	Imputado 	No
Andalucía 	José Jaén Polonio 	PSOE 	Concejal de Cultura y Educación de Marbella y teniente de alcalde del Ayuntamiento de Marbella 	Malaya 	Condenado 	Preventiva
Andalucía 	José Manuel Pulido Pino 	PSOE 	Jefe de Caja y Contabilidad de Mercasevilla. 	Mercasevilla 	Imputado 	No
Andalucía 	José Salgueiro 	PSOE 	Viceconsejero Economía y Hacienda 	ERE 	Imputado 	No
Andalucía 	Juan Antonio Bisbal 	PSOE 	Concejal de Almería, funcionario del Ayuntamiento y asesor en la fecha de los hechos del grupo municipal de su partido 	Facturas 	Imputado 	
Andalucía 	Juan Carlos Soriano Hernández 	PSOE 	Viceconsejero de Relaciones Institucionales 	ERE 	Imputado 	No
Andalucía 	Juan Francisco Sánchez (político) 	PSOE 	Secretario General IDEA (2012-2014) / Director Finanzas IDEA (2010-2012) / Secretario General Técnico de Innovación, Ciencia y Empresa (2004-2010) / Secretario General Técnico Empleo y Desarrollo Tecnológico (2000-2004) / Delegado Economía y Hacienda en Sevilla (1994-2000) 	ERE 	Imputado 	No
Andalucía 	Juan Francisco Trujillo 	PSOE 	Chófer de Javier Guerrero, consejero de Empleo de la Junta de Andalucía 	ERE 	Imputado 	No
Andalucía 	Juan Luque Alfonso 	PSOE 	Interventor de la Consejería de Empleo 	ERE 	Imputado 	No
Andalucía 	Juan Márquez (político) 	PSOE 	Director general de Trabajo y Seguridad Social (2008-2010) 	ERE 	Imputado 	No
Andalucía 	Juan Rodríguez Cordobés 	PSOE 	Delegado de Trabajo y Asuntos Sociales en Sevilla (1999-2000) 	ERE 	Imputado 	No
Andalucía 	Juan Vela Quiroga 	PSOE 	Director de Finanzas de IDEA (2004-2008) 	ERE 	Imputado 	No
Andalucía 	Justo Mañas 	PSOE 	Viceconsejero de empleo (2010-2012) 	ERE 	Imputado 	No
Andalucía 	Lourdes Medina Barrios 	PSOE 	Secretario General Técnico de Empleo (2008-2012) 	ERE 	Imputado 	No
Andalucía 	Luis Pérez Montoya 	PSOE 	Vicepresidente de la diputación de Almería 	Facturas 	Imputado 	
Andalucía 	Magdalena Álvarez 	PSOE 	Consejero de Economía y Hacienda (1994-2004) 	ERE 	Imputado 	No
Andalucía 	Manuel Chaves 	PSOE 	Presidente de la Junta de Andalucía (1990-2009) 	ERE 	Investigado 	No
Andalucía 	Manuel Gómez Martínez 	PSOE 	Interventor General de Hacienda 	ERE 	Imputado 	No
Andalucía 	Manuel Marchena 	PSOE 	Gerente de Urbanismo del Ayuntamiento de Sevilla, durante el gobierno PSOE-IU 	Mercasevilla 	Imputado 	
Andalucía 	Manuel Pastrana 	PSOE 	Secretario general de UGT 	Formación 	Imputado 	
Andalucía 	Manuel Recio 	PSOE 	Consejero de empleo (2010-2012) 	ERE 	Investigado 	No
Andalucía 	Mar Moreno 	PSOE 	Consejero de la Presidencia (2010-2012) 	ERE 	Investigado 	No
Andalucía 	Martín Soler 	PSOE 	Consejero de Innovación 	ERE 	Imputado 	No
Andalucía 	Miguel Ángel Millán 	PSOE 	Gerente de Urbanismo del Ayuntamiento de Sevilla 	Mercasevilla 	Imputado 	
Andalucía 	Miguel Ángel Serrano (político) 	PSOE 	Director general de IDEA 	ERE 	Imputado 	No
Andalucía 	Pablo Millán Márquez 	PSOE 	Director de Finanzas del IFA (1999-2004) 	ERE 	Imputado 	No
Andalucía 	Pilar Giraldo 	PSOE 	Director del área Económico-Financiera de Mercasevilla 	Mercasevilla 	Imputado 	No
Andalucía 	Pilar Rodríguez López 	PSOE 	Secretario General de Telecomunicaciones 	ERE 	Imputado 	No
Andalucía 	Rafael Herrera Gil 	PSOE 	Secretario General de Empleo 	ERE 	Imputado 	No
Andalucía 	Ramón Díaz Alcaraz 	PSOE 	Asesor de la Consejería de Empleo / Diputado del PSOE en el Parlamento de Andalucía / Secretario general PSOE Sevilla Este 	ERE 	Imputado 	No
Andalucía 	Regla Pereira 	PSOE 	Director de Estructuras de Mercasevilla. 	Mercasevilla 	Imputado 	No
Asturias 	Francisco González Méndez 	PSOE 	Alcalde de Cudillero. Diputado autonómico 	Cudillero 	Imputado 	No
Asturias 	José Luis Iglesias Riopedre 	PSOE 	Consejero de educación 	Marea 	Imputado 	Preventiva
Asturias 	María Jesús Otero 	PSOE 	Director general de Planificación, Centros e Infraestructuras y jefa de compras de la Consejería 	Marea 	Imputado 	Preventiva
Aragón 	Carlos Escó 	PSOE 	Viceconsejero de Obras Públicas y consejero delegado de Plaza 	Plaza 	Imputado 	No
Castilla La Mancha 	José Luis Martín 	PSOE 	Alcalde de Seseña 	Seseña 	Imputado 	No
Cataluña 	Josep Maria Huguet 	PSOE 	Jefe de Hacienda de Cataluña 	Hacienda 	Condenado 	Sí
Comunidad Valenciana 	Antonio Santo Juan 	PSOE 	Jefe de área en Vaersa 	Gürtel 	Imputado 	No
Extremadura 	José Luis Viñuela 	PSOE 	Director general de la Institución Ferial de Extremadura y ex diputado del PSOE 	Feval 	Imputado 	No
Extremadura 	José Villa (político) 	PSOE 	Subdirector de la Institución Ferial de extremadura y ex director general del PSOE 	Feval 	Imputado 	No
Extremadura 	Juan Cerrato 	PSOE 	Administrador general de la Institución Ferial de Extremadura 	Feval 	Imputado 	No
Galicia 	Francisco Fernández Liñares 	PSOE 	Presidente de la Confederación Hidrográfica do Miño-Sil yex concejal de economía y urbanismo del Ayuntamiento de Lugo 	Pokémon 	Imputado 	Preventiva
Galicia 	Francisco Rodríguez 	PSOE 	Alcalde de Ourense 	Pokémon 	Imputado 	No
Galicia 	Jesús Otero (político) 	PSOE 	Subdelegado del Gobierno en Lugo 	Carioca 	Imputado 	No
Galicia 	José Federico Nogueira 	PSOE 	Concejal de A Coruña 	Pokémon 	Imputado 	No
Galicia 	Manuel Pico Yáñez 	PSOE 	Concejal de Cospeito y empresario 	Pokémon 	Imputado 	No
Galicia 	Mercedes Carbajales Iglesias 	PSOE 	Consejero de Cultura, Educación y Universidades 	Pokémon 	Imputado 	No
Galicia 	Xosé Orozco 	PSOE 	Alcalde de Lugo 	Pokémon 	Imputado 	No
Madrid 	Avelino Pérez Pallares 	PSOE 	Cargo de confianza adscrito al Área de Sostenibilidad, Obras y Mantenimiento de Obras Públicas en Parla 	Operación Púnica 	Imputado 	No
Madrid 	José María Fraile 	PSOE 	Alcalde de Parla 	Operación Púnica 	Imputado 	No
Melilla 	Alonso Díaz (político) 	PSOE 	Secretario de organización del PSOE, secretario general de UGT Melilla 	Voto por correo 	Imputado 	No
Melilla 	Amin Azmani 	PSOE 	Secretario General de Juventudes Socialistas de Melilla 	Voto por correo 	Imputado 	No
Melilla 	Ana Mansilla 	PSOE 	Directora provincial del Servicio Público de Empleo Estatal en Melilla, Secretaria de Organización del PSOE de Melilla y Diputada del PSOE en la Asamblea de Melilla 	Voto por correo 	Imputado 	No
Melilla 	Celia Sarompas 	PSOE 	Cargo de la ejecutiva del PSOE de Melilla y Diputada en la Asamblea de Melilla 	Voto por correo 	Imputado 	No
Melilla 	Dionisio Muñoz 	PSOE 	Secretario General del PSOE de Melilla, diputado de la asamblea en Melilla 	Voto por correo 	Imputado 	No
Melilla 	Gabriel Jiménez Heredia 	PSOE 	Cargo de la ejecutiva del PSOE de Melilla 	Voto por correo 	Imputado 	No
Melilla 	Joaquín Arana 	PSOE 	Director provincial del Servicio Público de Empleo Estatal en Melilla 	Voto por correo 	Imputado 	No
Melilla 	Nora Hamad 	PSOE 	Cargo de la ejecutiva del PSOE de Melilla 	Voto por correo 	Imputado 	No
Melilla 	Rabea Aomar 	PSOE 	Cargo de la ejecutiva del PSOE de Melilla 	Voto por correo 	Imputado 	No
Melilla 	Rafael Robles (político) 	PSOE 	Cargo de la ejecutiva del PSOE de Melilla 	Voto por correo 	Imputado 	No
Melilla 	Sergio Martínez 	PSOE 	Miembro, de Juventudes Socialistas de Melilla, actualmente Secretario General 	Voto por correo 	Imputado 	No
Melilla 	Yeray Díaz 	PSOE 	Cargo de la ejecutiva del PSOE de Melilla 	Voto por correo 	Imputado 	No
Murcia 	Jesús Norberto Galindo 	PSOE 	Secretario del Instituto de Turismo de la Región de Murcia 	Operación Púnica 	Imputado 	No
Murcia 	José Antonio Alonso (alcalde de Cartagena) 	PSOE 	Alcalde de Cartagena 	Operación Púnica 	Imputado 	No
Cataluña 	Bartomeu Muñoz 	PSC 	Alcalde de Santa Coloma de Gramanet y vicepresidente de la diputación provincial de Barcelona 	Pretoria 	Condenado6​ 	Preventiva
Cataluña 	Joan Manau 	PSC 	Concejal de urbanismo de Sabadell 	Mercurio 	Imputado 	No
Cataluña 	Joaquim Nadal 	PSC 	Dirigente del PSC y consejero de Política Territorial (2003-2010) 	Incasol 	Imputado 	No
Cataluña 	Luis García Sánchez, 'Luigi', cerebro de la trama. 	PSC 	Diputado del PSC 	Pretoria 	Condenado6​ 	Preventiva
Cataluña 	Lluís Miquel Pérez 	PSC 	Alcalde de Reus 	Innova 	Imputado 	
Cataluña 	Manel Bustos 	PSC 	Alcalde de Sabadell 	Mercurio 	Imputado 	No
Cataluña 	Manuel Dobarco 	PSC 	Concejal de Urbanismo de Santa Coloma de Gramanet 	Pretoria 	Condenado6​ 	Preventiva
Cataluña 	Montserrat Capdevila 	PSC 	Concejal de Economía de Sabadell y diputada 	Mercurio 	Imputado 	No
Cataluña 	Carles Manté 	CIU (CDC) 	Responsable de Cat Salut 	Innova 	Imputado 	
Cataluña 	Daniel Osàcar 	CIU (CDC) 	Tesorero de CDC 	Millet 	Imputado 	No
Cataluña 	Daniel Osàcar 	CIU (CDC) 	Tesorero de CDC 	Osàcar 	Imputado 	No
Cataluña 	Félix Millet 	CIU (CDC) 	Presidente de la Fundación Orfeón Catalán - Palacio de la Música Catalana entre los años 1990 y 2009 	Millet 	Condenado 	No
Cataluña 	Francesc Xavier Solà 	CIU (CDC) 	Jefe de servicios jurídicos y ex secretario general de Departamento de Cultura 	Solà y Matas 	Imputado 	No
Cataluña 	Jordi Huguet Farré 	CIU (CDC) 	Director técnico 	Adigsa 	Imputado 	No
Cataluña 	Jordi Montull 	CIU (CDC) 	Mano derecha de Félix Millet 	Millet 	Condenado 	No
Cataluña 	Jordi Pujol Ferrusola 	CIU (CDC) 	Hijo de Jordi Pujol 	Pujol 	Imputado 	Si
Cataluña 	Jordi Pujol Soley 	CIU (CDC) 	Presidente de la Generalitat (1980-2003) 	Pujol 	Investigado 	No
Cataluña 	Josep Antoni Fontevilla 	CIU (CDC) 	Diputado y consejero delegado ADIGSA 	Adigsa 	Imputado 	No
Cataluña 	Josep Maria Matas 	CIU (CDC) 	Secretario de la Associació Catalana de Municipis 	Solà y Matas 	Imputado 	No
Cataluña 	Josep Poblet 	CIU (CDC) 	Presidente de la Diputación de Tarragona y alcalde de Vila-seca 	Innova 	Imputado 	No
Cataluña 	Josep Prat (político) 	CIU (CDC) 	Presidente del Instituto Catalán de la Salud y director general de Innova 	Innova 	Imputado 	
Cataluña 	Josep Tous 	CIU (CDC) 	Director general de Consumo y Seguridad Industrial de la Generalitat, diputado por Barcelona 	ITV 	Imputado 	No
Cataluña 	Lluís Prenafeta 	CIU (CDC) 	Primer secretario general de la Generalitat de Jordi Pujol 	Pretoria 	Condenado6​ 	Preventiva
Cataluña 	Macià Alavedra 	CIU (CDC) 	Conseller de Jordi Pujol durante 15 años 	Pretoria 	Condenado6​ 	Preventiva
Cataluña 	Marta Ferrusola 	CIU (CDC) 	Mujer de Jordi Pujol 	Pujol 	Investigado 	No
Cataluña 	Mercé Gironés 	CIU (CDC) 	Esposa de Jordi Pujol Ferrusola 	ITV 	Imputado 	No
Cataluña 	Oleguer Pujol Ferrusola 	CIU (CDC) 	Hijo de Jordi Pujol 	Pujol 	Imputado 	No
Cataluña 	Oriol Pujol Ferrusola 	CIU (CDC) 	Diputado Parlament de Cataluña, portavoz del grupo parlamentario CIU, secretario General CDC (2012-2013) 	ITV 	Imputado 	No
Cataluña 	Xavier Crespo 	CIU (CDC) 	Diputado autonómico y alcalde de Lloret de Mar 	Clotilde 	Imputado 	No
Cataluña 	Xavier Sala Serra 	CIU (CDC) 	Responsable económico 	Adigsa 	Imputado 	No
Cataluña 	Josep Maria Servitje 	CIU (UDC) 	Secretario General del Departamento de Trabajo 	Treball 	Condenado 	No
Cataluña 	Lluís Gavaldà (político) 	CIU (UDC) 	Director general de Trabajo 	Pallerols 	Condenado 	Sí
Cataluña 	Vicenç Gavaldà 	CIU (UDC) 	Secretario de organización de Unió 	Pallerols 	Condenado 	Sí 
