id,pardon_date,minister,crime,gender
BOE-A-1998-10792,1998-04-17,Margarita Mariscal De Gante,"un delito de robo, a la pena de cinco años de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1998-10793,1998-04-17,Margarita Mariscal De Gante,"tres delitos de robo, a la pena de seis meses y un día de prisión menor, cuatro meses y un día de arresto mayor y cuatro años dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1998-11970,1998-04-24,Margarita Mariscal De Gante,"un delito de robo, a la pena de cinco años de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1998-12893,1998-04-30,Margarita Mariscal De Gante,"un delito de receptación, a la pena de dos años de prisión menor y multa de 50.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1998-14540,1998-05-22,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de tres años de prisión menor y multa de 1.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1998-19637,1998-07-10,Margarita Mariscal De Gante,"un delito de apropiación indebida, a la pena de un año de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1998-19649,1998-07-10,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de seis años de prisión menor y multa de 2.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1998-21207,1998-07-31,Margarita Mariscal De Gante,"un delito de torturas, a la pena de cinco meses y un día de arresto mayor y seis años y un día de inhabilitación especial para el desempeño del cargo público, del ejercicio del derecho de sufragio activo y pasivo y para el desempeño de la profesión de policía",Hombre
BOE-A-1998-23188,1998-09-04,Margarita Mariscal De Gante,"un delito de estafa, a la pena de seis años y un día de prisión mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1998-23200,1998-09-04,Margarita Mariscal De Gante,"un delito de utilización ilegítima de vehículo de motor ajeno, a la pena de cuatro meses y un día de arresto mayor y privación del permiso de conducir o de la facultad de obtenerlo por tiempo de tres meses y un día y un delito continuado de robo, a la pena de seis meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1998-23602,1998-09-11,Margarita Mariscal De Gante,"un delito de coacciones, a la pena de dos meses y un día de arresto mayor y multa de 300.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1998-23605,1998-09-11,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de ocho años y un día de prisión mayor y multa de 20.000.000 de pesetas, y cómplice de un delito de contrabando, a la pena de cuatro meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de las condenas",Mujer
